"continent","start_point","random","end_point","diversity"
"North America",2022.6,2,2023.6,1.47498910450702
"Asia",2022.7,2,2023.7,1.49801766562216
"Africa",2022.7,2,2023.7,1.23071987001039
"Europe",2022.7,2,2023.7,1.32118455487443
"North America",2022.7,2,2023.7,1.4332522495081
"Asia",2022.8,2,2023.8,1.47930623411848
"Africa",2022.8,2,2023.8,1.1969671833032
"Europe",2022.8,2,2023.8,1.33840135001866
"North America",2022.8,2,2023.8,1.4826281262644
"Asia",2022.9,2,2023.9,1.31202313775179
"Africa",2022.9,2,2023.9,1.34788109769982
"Europe",2022.9,2,2023.9,1.3601566086423
"North America",2022.9,2,2023.9,1.46469782313931
"Asia",2023,2,2024,1.32827420341703
"Africa",2023,2,2024,1.28128675720791
"Europe",2023,2,2024,1.28406078948702
"North America",2023,2,2024,1.39460570276743
"Asia",2023.1,2,2024.1,1.21826189922059
"Africa",2023.1,2,2024.1,1.5698844958833
"Europe",2023.1,2,2024.1,1.56835259866754
"North America",2023.1,2,2024.1,1.38454717462114
"Asia",2023.2,2,2024.2,1.19273210301462
"Africa",2023.2,2,2024.2,1.041134375186
"Europe",2023.2,2,2024.2,1.52815264321713
"North America",2023.2,2,2024.2,1.37519857787814
"Asia",2023.3,2,2024.3,1.15545097088827
"Africa",2023.3,2,2024.3,1
"Europe",2023.3,2,2024.3,1.5383157887142
"North America",2023.3,2,2024.3,1.36678673526373
"Asia",2023.4,2,2024.4,1.13758038936699
"Africa",2023.4,2,2024.4,1
"Europe",2023.4,2,2024.4,1.56525172197836
"North America",2023.4,2,2024.4,1.33643707870914
"Asia",2023.5,2,2024.5,1.13758038936699
"Africa",2023.5,2,2024.5,1
"Europe",2023.5,2,2024.5,1.59846853554534
"North America",2023.5,2,2024.5,1.33643707870914
"Asia",2020,3,2021,1.59048820738873
"Africa",2020,3,2021,1.1405384024276
"Europe",2020,3,2021,1.16449649174112
"North America",2020,3,2021,NA
"Asia",2020.1,3,2021.1,1.45036708992423
"Africa",2020.1,3,2021.1,1.15184278137784
"Europe",2020.1,3,2021.1,1.15089019677974
"North America",2020.1,3,2021.1,NA
"Asia",2020.2,3,2021.2,1.41855672952282
"Africa",2020.2,3,2021.2,1.418341077307
"Europe",2020.2,3,2021.2,1.20774199749004
"North America",2020.2,3,2021.2,NA
"Asia",2020.3,3,2021.3,1.42323984880933
"Africa",2020.3,3,2021.3,1.3429593701747
"Europe",2020.3,3,2021.3,1.14825598375802
"North America",2020.3,3,2021.3,NA
"Asia",2020.4,3,2021.4,1.36359923749582
"Africa",2020.4,3,2021.4,1.20772565483738
"Europe",2020.4,3,2021.4,1.10585542683964
