# BEAST v10.5.0
# Generated Thu Jan 29 15:27:36 GMT 2026 [seed=1769700455800]
# 2344b_global_n8_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N8_2019_R7_Africa)	age(H5N8_2019_R7_Africa)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
5190000	-6693.297100621988	-107.53740265817132	-6585.7596979638165	15.545342129301762	2006.6163017063145	81.10443147527579	3.0645229757066277	2019.0971208599096	4.922865783197064	5.643098657523759	5.975483934504042	0.30226744535285754	0.1852728320451325	0.2442301360479949	0.2682295865540157	0.29218009570584696	2.3543978673738177	0.3124340300155905	0.6875659699844116	0.4686510450233857	2.0626979099532345	0.01975041022584185	5.317192708013879	0.0079288455869046	0.2880065064610046	0.02616913041089129	-6585.7596979638165	0.0	-238.96994449661045
5200000	-6695.93298654255	-119.83498437162694	-6576.098002170923	14.403381604429164	2007.7582622311872	80.66125916871896	3.1411412250385906	2019.0205026105778	5.007156715169479	7.406499568122174	8.994017106896328	0.32173514975783785	0.18886285635166972	0.24173387804093288	0.24766811584956014	0.20774430098557645	2.094911040294622	0.33689068182522613	0.6631093181747759	0.5053360227378392	1.9893279545243279	0.020131938695372463	6.194902755327171	0.007937831142753073	0.29462564633391225	0.007564310275606988	-6576.098002170923	0.0	-241.82629548749017
5210000	-6696.076810794501	-103.19996228796794	-6592.876848506534	16.80166574582613	2005.3599780897903	85.05082663885933	3.1691142631212648	2018.9925295724952	4.826727315540163	8.206316744191367	7.592918487228934	0.31232455190380176	0.18154231233764268	0.2531543375839042	0.25297879817465185	0.1936405109711123	3.1216626634153095	0.2908759416185355	0.7091240583814664	0.43631391242780326	2.1273721751443992	0.02501627332490846	7.136151975124359	0.007507014648564466	0.27520270032699334	-0.02662640327041121	-6592.876848506534	0.0	-248.39706266570548
5220000	-6679.5794366679675	-105.15197341474976	-6574.427463253218	16.753344089228822	2005.4082997463875	87.74985017414978	3.1332428208697016	2019.0284010147466	5.260019553421056	5.730879640116827	8.757198281215162	0.30610627424446657	0.1696750440963219	0.2466202353552187	0.2775984463039934	0.28562317144625754	1.827335740465598	0.33458756522808547	0.6654124347719168	0.5018813478421282	1.9962373043157504	0.030493876676544716	9.9331436412414	0.007450099060578687	0.3678005642340273	-0.03231036500586161	-6574.427463253218	0.0	-241.55418736648343
5230000	-6670.614909993851	-103.64458222373361	-6566.970327770117	15.130325144912566	2007.0313186907038	83.53628693504352	3.1736928082172566	2018.987951027399	4.142257709281305	6.820825065357334	8.714076309305065	0.30882399789585013	0.17702198102650052	0.24981225757326297	0.264341763504387	0.2700431142359693	2.309750865850867	0.3302002684125703	0.6697997315874319	0.49530040261885544	2.009399194762296	0.02636336381816709	8.482093967366527	0.007707871723989297	0.2959499263783057	0.059733283588356854	-6566.970327770117	0.0	-244.69132338436873
5240000	-6660.819984062546	-83.4034264307304	-6577.4165576318155	14.655722495237619	2007.5059213403788	76.74526096974849	3.1291952270139753	2019.0324486086024	4.546050358196401	8.503750020397177	8.166449582714337	0.3041602194819663	0.1792502736818725	0.2576415042014968	0.25894800263466516	0.25455162529062547	1.8097324771458347	0.32699744671748526	0.6730025532825168	0.4904961700762279	2.01900765984755	0.022080358965190415	5.956685415468634	0.008280003567962324	0.25933032933148953	0.10380551482628046	-6577.4165576318155	0.0	-228.6142217114501
5250000	-6681.2972082690985	-98.892501760828	-6582.4047065082705	11.417642442757192	2010.7440013928592	71.7798128633227	3.1643223195551005	2018.9973215160612	4.617221016132334	7.932180363728675	8.736344635216614	0.30664833161814226	0.18879467507584508	0.25741555432305746	0.24714143898295596	0.14979011063324274	2.442769363009488	0.31418174454676084	0.6858182554532413	0.47127261682014127	2.057454766359724	0.02300781628202857	6.755449526304906	0.008490617484135973	0.28464447613135613	-0.05597784444702381	-6582.4047065082705	0.0	-232.96741051197338
5260000	-6685.726119323218	-108.68644189856694	-6577.039677424651	13.443686690346322	2008.71795714527	75.27521589488076	3.052936179812293	2019.108707655804	4.321152486156142	7.200342272000864	9.074284684731456	0.3146293485939797	0.1820870028712983	0.24712038070889888	0.2561632678258239	0.19938370426518992	1.776326388199459	0.338534759729861	0.6614652402701408	0.5078021395947916	1.9843957208104221	0.030625578972639216	8.981866818620498	0.008491766287367475	0.3321316497880404	-0.02028151326856327	-6577.039677424651	0.0	-234.6175939693784
5270000	-6706.713849537414	-125.28708187588795	-6581.426767661525	12.656780725883515	2009.504863109733	76.01929894875677	3.303005732859116	2018.8586381027571	4.376918574651158	6.076252823831452	7.243883257500655	0.31751769125794105	0.1755355215796824	0.24978816483303373	0.2571586223293436	0.12586431384953753	1.9337165026970822	0.30625106987947903	0.6937489301205225	0.45937660481921855	2.0812467903615675	0.022876044086151272	7.736442739986319	0.00737390398914613	0.32565953573151	0.10443649465586906	-6581.426767661525	0.0	-236.98507267253729
5280000	-6673.903204048651	-81.24130352865166	-6592.661900519999	15.365700907792672	2006.7959429278237	78.052248095111	3.1573172528255373	2019.0043265827908	3.7825648153710136	6.0995346678074975	7.043112874269896	0.32075925083846124	0.16997481855525903	0.2512444602101098	0.25802147039617074	0.16825576286123062	2.1583208724838454	0.294584959873134	0.7054150401268678	0.44187743980970096	2.1162451203806034	0.024170251213353332	6.809701427810506	0.008269012643498231	0.2901448339624858	0.03661336711776877	-6592.661900519999	0.0	-226.15299067272818
