# BEAST v10.5.0
# Generated Thu Jan 29 15:27:22 GMT 2026 [seed=1769700441805]
# 2344b_global_n5_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N5_2021_R5_Europe)	age(H5N5_2021_R5_Europe)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
8290000	-3966.1952868021144	-73.67267599456059	-3892.522610807554	29.51586640211695	1994.5497073683748	116.05514020039963	5.586164748599308	2018.4794090218925	6.915640099844165	9.533270561930689	9.468537596290979	0.28583303252781084	0.1884701598541263	0.26537088933001396	0.26032591828804713	0.04159930253586368	1.7032106574542296	0.3374442516864944	0.6625557483134857	0.5061663775297416	1.9876672449404573	0.006982993167292107	7.145538082004079	0.002833445212785041	0.283362012291816	-2.0172104053823393E-4	-3892.522610807554	0.0	-100.80630874820267
8300000	-3946.0005235100307	-56.988104585295	-3889.012418924736	20.638429542809146	2003.4271442276827	75.09563866589019	4.321516159504596	2019.744057610987	6.1588735899411615	13.686752908686444	7.859274856465714	0.3053385868379381	0.18756015601551643	0.23867315199215589	0.2684281051543879	0.25185896636029187	1.9964492428689464	0.25419562312159033	0.7458043768783902	0.3812934346823855	2.2374131306351703	0.0065570382853483355	3.1048756105521176	0.004258620985709716	0.24391278802620003	0.03899443708737552	-3889.012418924736	0.0	-83.74074958421375
8310000	-3946.620297634589	-54.76758602570196	-3891.852711608887	24.32330888931971	1999.742264881172	85.21157181461739	4.179877005958612	2019.8856967645331	5.853401777163432	6.997176897921329	5.743631292541918	0.30233485915779734	0.18860777718866767	0.24636894985403485	0.2626884137994986	0.6460606280870035	1.22613567218226	0.2499032563751167	0.7500967436248639	0.3748548845626751	2.2502902308745916	0.005485968594611724	2.227424162819623	0.004036855188067661	0.1992125238368187	0.20016312362277458	-3891.852711608887	0.0	-84.94331089975398
8320000	-3952.490360859412	-55.47714018128919	-3897.0132206781227	24.472532865946494	1999.5930409045452	80.23259592459661	4.215464935912127	2019.8501088345795	5.0540417444779315	12.3002859734284	6.5320099864918	0.29160921741811807	0.1943599366482356	0.26689409190655183	0.24713675402709293	0.12752913883459854	2.6307345963338125	0.2555422358368424	0.7444577641631387	0.38331335375526354	2.233373292489416	0.009041165984390757	4.649684796316955	0.004211602349483739	0.2513069821630819	0.004699473842156191	-3897.0132206781227	0.0	-83.7174398972846
8330000	-3954.2226488948336	-63.96633283932826	-3890.2563160555055	31.998940762581885	1992.0666330079098	116.47931833862263	4.840664882672618	2019.224908887819	10.129595534685	12.07568799475928	7.21832837277905	0.28716644262791424	0.19459104268009123	0.24234343285167106	0.2758990818403218	0.1859703990359871	1.5058532684433599	0.2709993707315695	0.7290006292684117	0.40649905609735426	2.187001887805235	0.003170780144435567	3.1204397619873294	0.0021591986016932596	0.22080642283872792	0.10112042972848567	-3890.2563160555055	0.0	-100.14711741341361
8340000	-3952.570462575647	-74.04315311048859	-3878.5273094651584	34.82827064728636	1989.2373031232053	120.39957944948038	5.190014868646071	2018.8755589018456	8.26639919060351	7.9749336883017925	6.162267210269322	0.29299776020909896	0.20011421806482305	0.24396686877991394	0.2629211529461624	0.3652117516647388	3.5090402897069866	0.25163464486371107	0.7483653551362701	0.3774519672955666	2.24509606540881	0.005828982384280646	5.589203238077144	0.002710460650398039	0.27986652785275923	-0.16683931370320526	-3878.5273094651584	0.0	-96.4497608452263
8350000	-3960.1755632243703	-69.40382275753842	-3890.771740466832	28.130846333890947	1995.9347274366007	98.79295919615167	4.611828461284687	2019.453745309207	7.491759369793583	9.290059683091073	10.165757987750146	0.2895215600140271	0.1782557132259095	0.2641389845220075	0.2680837422380541	0.13801495389206078	1.992888924620074	0.23950506659111956	0.7604949334088614	0.3592575998866793	2.2814848002265844	0.009806790396828701	6.400763818329826	0.0035402163684566156	0.2880912021459093	0.07579987766589537	-3890.771740466832	0.0	-91.36939760069599
8360000	-3935.0644967960848	-60.4953861794281	-3874.569110616657	29.568613651414537	1994.4969601190771	97.24324006466017	4.354284943482516	2019.7112888270092	6.724703075943023	8.11847270231586	6.5357197490169	0.3120551211748459	0.19184655073959145	0.23782861134310662	0.258269716742454	0.05042327702015794	1.226481738928482	0.25233328442851466	0.747666715571467	0.378499926642772	2.243000146714401	0.009455760561228727	7.089645703323128	0.003220581773300401	0.29692419012745175	-0.14071084682904372	-3874.569110616657	0.0	-89.69492357496262
8370000	-3947.826353238561	-56.83513639789722	-3890.9912168406636	21.798113333975582	2002.267460436516	76.32419885920783	4.309686617279085	2019.7558871532126	4.537840243389658	6.446618298429808	8.340067066393383	0.2943638167792874	0.20692593699354575	0.24379713902868508	0.2549131071984798	0.09568728645158169	2.983071294577822	0.29538306962716976	0.7046169303728124	0.44307460444075464	2.113850791118437	0.006186814525779408	2.81132454551617	0.004455120204310992	0.2234627482323828	-0.09740907065173379	-3890.9912168406636	0.0	-82.88223911129984
8380000	-3935.190451836666	-57.5817582800015	-3877.6086935566645	21.71925416790055	2002.3463196025912	76.17997750675744	4.130138796439259	2019.9354349740524	4.077970980287328	9.561489745434624	6.650522647841199	0.29652160197186533	0.18492722610016668	0.2496110009038997	0.26894017102406614	0.15324073956321832	1.602182752551773	0.30882424097025507	0.6911757590297268	0.4632363614553826	2.0735272770891804	0.013435970419753009	8.27282479338089	0.004449428147400351	0.29334148598600607	-0.10891102338744861	-3877.6086935566645	0.0	-80.61214985078107
