key,cluster_profile,segment,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,collection_regionname,host_simplifiedhost,virus_subtype,prob_collection_regionname,prob_host_simplifiedhost,prob_virus_subtype,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal,col2,group2,Length_Between_First_Last_Sample,median_galliformes-domestic,median_other-bird,median_anseriformes-wild,median_galliformes-wild,median_environment,median_mammal,median_charadriiformes-wild,median_human,median_anseriformes-domestic,max_galliformes-domestic,max_other-bird,max_anseriformes-wild,max_galliformes-wild,max_environment,max_mammal,max_charadriiformes-wild,max_human,max_anseriformes-domestic,sum_galliformes-domestic,sum_other-bird,sum_anseriformes-wild,sum_galliformes-wild,sum_environment,sum_mammal,sum_charadriiformes-wild,sum_human,sum_anseriformes-domestic
pb2_31319212,3_1_3_1_9_2_1_2,pb2,1,647,6,0.005575392,7.86278e-4,0.047732128,2021.54542,0.058391217,2022.060274,0.514853664,34.82339659,131.1097686,eastern asia,anseriformes-wild,H5N8,1,0.600839916,1,NA,NA,NA,NA,NA,NA,#CBC968,minor,0,NA,NA,0.9912777674321944,NA,NA,NA,NA,NA,NA,NA,NA,0.9912777674321944,NA,NA,NA,NA,NA,NA,NA,NA,0.9912777674321944,NA,NA,NA,NA,NA,NA
pb2_32313712,3_2_3_1_3_7_1_2,pb2,3,659,19,0.003642993,6.74027e-4,0.016926942,2020.89533,0.072173615,2021.619178,0.723848316,35.63232149,110.2334476,eastern asia,anseriformes-wild,H5N8,1,1,1,1271.579,1271.579,44131.93,44131.93,NA,NA,#33cc59,minor,0.427,0.4776995397171717,NA,0.4666737985210432,NA,NA,NA,NA,NA,NA,0.4776995397171717,NA,0.4666737985210432,NA,NA,NA,NA,NA,NA,0.4776995397171717,NA,1.044741122541332,NA,NA,NA,NA,NA,NA
pb2_3631121212,3_6_3_1_12_12_1_2,pb2,6,663,7,0.002816947,4.82489e-4,0.013218548,2021.880143,0.051284802,2022.068493,0.188349993,27.95695056,111.4703695,eastern asia,anseriformes-wild,H5N2,1,1,0.99990001,680.3648,680.3648,3618.033,3618.033,NA,NA,#336fcc,minor,0.076,NA,NA,0.943602167984686,NA,NA,NA,NA,NA,NA,NA,NA,0.943602167984686,NA,NA,NA,NA,NA,NA,NA,NA,5.5849006791409614,NA,NA,NA,NA,NA,NA
pb2_3631121211,3_6_3_1_12_12_1_1,pb2,1,665,2,0.003532316,2.14118e-4,0.02630105,2022.0447,0.047588415,2022.068493,0.023793251,27.59104099,111.6184802,eastern asia,anseriformes-wild,H5N2,1,1,1,NA,NA,NA,NA,NA,NA,#DCCB4E,minor,0,NA,NA,0.1113037877326093,NA,NA,NA,NA,NA,NA,NA,NA,0.1113037877326093,NA,NA,NA,NA,NA,NA,NA,NA,0.1113037877326093,NA,NA,NA,NA,NA,NA
pb2_383111718,3_8_3_1_11_7_1_8,pb2,4,671,7,0.00679108,3.57193e-4,0.052912775,2021.266893,0.064294275,2022.860274,1.593380863,25.91233788,112.1366049,eastern asia,anseriformes-wild,H5N6,1,0.999262356,0.999877059,422.1158,285.7153,19052.95,16673.4,NA,NA,#99ccb7,major,1.241,NA,NA,0.7905352510750099,NA,NA,NA,NA,0.9880272074214532,NA,NA,NA,0.831124197251512,NA,NA,NA,NA,0.9880272074214532,NA,NA,NA,2.8898942391187035,NA,NA,NA,NA,0.9880272074214532,NA
pb2_3153111718,3_15_3_1_11_7_1_8,pb2,1,673,5,0.003334637,2.45266e-4,0.029335875,2021.429742,0.060725269,2021.715068,0.285326608,25.55264068,112.3560086,eastern asia,anseriformes-wild,H5N6,1,0.997457627,1,NA,NA,NA,NA,NA,NA,#cc3342,minor,0,NA,NA,0.17078538927751907,NA,NA,NA,NA,0.2781943501041795,NA,NA,NA,0.17078538927751907,NA,NA,NA,NA,0.2781943501041795,NA,NA,NA,0.17078538927751907,NA,NA,NA,NA,0.2781943501041795,NA
pb2_31221112018,3_1_22_1_11_20_1_8,pb2,2,676,2,0.002831123,4.74666e-4,0.018898115,2022.739191,0.03348629,2023.70411,0.964918604,34.14105606,105.1687299,eastern asia,anseriformes-wild,H5N6,1,0.782221778,1,470.8771,433.1239,37740.26,34714.38,NA,NA,#6bcc33,minor,0.457,NA,NA,1.8622714776721168,NA,NA,0.5306043258242994,NA,NA,NA,NA,NA,2.337162681680155,NA,NA,0.5306043258242994,NA,NA,NA,NA,NA,3.7245429553442335,NA,NA,0.5306043258242994,NA,NA,NA
pb2_32313219,3_2_3_1_3_2_1_9,pb2,2,686,5,0.008538741,4.25247e-4,0.050485322,2021.093109,0.068012864,2021.915068,0.821959261,35.61899473,107.4543251,eastern asia,anseriformes-wild,H5N8,1,1,1,NA,NA,NA,NA,NA,NA,#9acc99,minor,0.381,0.33262516040448986,NA,0.3281349002727154,NA,NA,NA,NA,NA,NA,0.401065786748795,NA,0.5434105175354844,NA,NA,NA,NA,NA,NA,0.6652503208089797,NA,0.6562698005454308,NA,NA,NA,NA,NA,NA
pb2_323131019,3_2_3_1_3_10_1_9,pb2,1,689,2,0.00434704,2.66e-4,0.053994677,2021.510917,0.059212392,2021.79726,0.286343112,24.11992741,108.5616189,eastern asia,anseriformes-wild,H5N8,0.999645306,0.992906124,0.75798061,NA,NA,NA,NA,NA,NA,#D1C95F,minor,0,NA,NA,0.39611685058054746,NA,NA,NA,NA,NA,NA,NA,NA,0.39611685058054746,NA,NA,NA,NA,NA,NA,NA,NA,0.39611685058054746,NA,NA,NA,NA,NA,NA
pb2_319313919,3_19_3_1_3_9_1_9,pb2,1,688,3,0.006347018,2.60699e-4,0.049968521,2021.401039,0.061573978,2021.794521,0.393481106,24.66848376,108.6723736,eastern asia,anseriformes-wild,H5N8,0.999899619,0.999096567,0.775446697,NA,NA,NA,NA,NA,NA,#dcdcdc,minor,0,NA,NA,0.6014488645511946,NA,NA,NA,NA,NA,NA,NA,NA,0.6014488645511946,NA,NA,NA,NA,NA,NA,NA,NA,0.6014488645511946,NA,NA,NA,NA,NA,NA
