data_name,Rcode,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,cluster_number,collection_regionname,host_simplifiedhost,collection_countryname,virus_subtype,prob_cluster_number,prob_collection_regionname,prob_host_simplifiedhost,prob_collection_countryname,prob_virus_subtype,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal
np_northamerica,5_1_1_1_2_1_1_1,35,744,64,0.013520741,0.001017315,0.090903372,2022.194731,0.153806053,2023.682192,1.487460695,40.17145057,-94.49099892,profile0002,northern america,anseriformes-wild,united states,H5N1,1,1,0.685034996,1,1,8323.898,4713.169,1513524,996895,9,NA
np_northamerica,5_3_1_1_2_1_1_1,3,752,3,0.004066345,0.000214175,0.070948809,2022.891133,0.105681192,2022.947945,0.056812516,38.0181805,-99.77260205,profile0002,northern america,galliformes-domestic,united states,H5N1,1,1,0.344850572,0.999777802,1,1781.889,1618.035,206693.7,180151.3,NA,NA
np_northamerica,5_1_1_1_2_1_1_3,22,754,54,0.002479496,NA,NA,2022.189585,0.153022526,2023.29863,1.109044866,40.17145057,-94.49099892,profile0002,northern america,anseriformes-wild,united states,H5N1,1,1,0.685034996,1,1,5121.87,3575.711,672004.9,725134.7,3,NA
np_northamerica,4_3_1_1_2_1_1_3,51,609,347,0.002044177,0.000185076,0.036708074,2019.889316,0.31304605,2023.90411,4.014793698,45.43571952,-102.1005681,profile0002,northern america,anseriformes-wild,united states,H5N1,0.994318182,1,0.835227273,1,1,4848.97,3497.655,1084406,1064121,18,2
np_northamerica,2_1_1_1_2_1_1_1,13,609,347,0.002044177,0.000185076,0.036708074,2019.889316,0.31304605,2022.268493,2.379177259,45.43571952,-102.1005681,profile0002,northern america,anseriformes-wild,united states,H5N1,0.994318182,1,0.835227273,1,1,3624.67,3571.422,275756.9,460383.4,1,NA
np_northamerica,4_10_1_1_2_1_1_3,1,826,2,0.004862098,0.000293879,0.103887594,2022.630057,0.123904404,2022.70411,0.074052446,44.33382598,-104.8141314,profile0002,northern america,galliformes-domestic,united states,H5N1,1,1,0.724137931,1,1,NA,NA,NA,NA,NA,NA
np_northamerica,4_5_1_1_2_1_1_3,12,807,149,0.004151229,0.000182879,0.044018034,2020.637699,0.26489321,2024.453552,3.815852726,45.43571952,-102.1005681,profile0002,northern america,anseriformes-wild,united states,H5N1,0.994318182,1,0.835227273,1,1,4564.576,4775.723,770368.9,1172259,2,NA
np_northamerica,5_5_1_1_2_1_1_3,6,842,6,0.005868139,0.000216493,0.052837208,2023.99494,0.031603333,2024.005464,0.010524877,40.09588746,-82.14995603,profile0002,northern america,anseriformes-wild,united states,H5N1,1,1,0.889553613,1,1,8067.775,6240.103,654484.5,981678.3,1,NA
np_northamerica,28_3_1_1_2_1_1_3,1,875,2,0.006720593,0.000270543,0.080072485,2022.895104,0.105805014,2023.167123,0.272019432,42.79093938,-100.0394462,profile0002,northern america,other-bird,united states,H5N1,1,1,0.764547414,1,1,NA,NA,NA,NA,NA,NA
np_northamerica,15_3_1_1_2_1_1_3,10,810,128,0.006260907,0.000333713,0.047459395,2022.246911,0.150204954,2023.375342,1.128431075,42.75991098,-95.83559414,profile0002,northern america,galliformes-domestic,united states,H5N1,1,1,0.740917676,1,1,1270.196,975.1472,71615.23,58482.05,NA,NA
np_northamerica,5_3_1_1_2_1_1_3,1,894,2,0.006501168,0.000295509,0.088475292,2022.702996,0.118679112,2022.786301,0.083305573,36.17204131,-96.59316225,profile0002,northern america,anseriformes-wild,united states,H5N1,1,1,0.859967051,1,1,NA,NA,NA,NA,NA,NA
np_northamerica,4_11_1_1_2_1_1_3,4,912,5,0.006098408,0.00038804,0.062118891,2023.176228,0.087428374,2023.69863,0.522401968,40.52430124,-78.07871948,profile0002,northern america,galliformes-domestic,united states,H5N1,0.999888901,1,0.631596489,1,1,316.8317,351.8334,4024.063,6663.179,1,NA
np_northamerica,15_10_1_1_2_1_1_3,2,918,2,0.006459217,0.000186739,0.1039386,2022.905902,0.104521822,2022.794521,0.111381199,32.93395567,-82.24459244,profile0002,northern america,galliformes-domestic,united states,H5N1,1,1,0.992928499,1,1,4601.183,4601.183,552336.6,552336.6,NA,NA
np_northamerica,4_1_1_1_2_1_1_3,1,935,2,0.004620852,0.000287983,0.054810608,2022.464311,0.134911348,2022.315068,0.149242178,44.09109615,-100.0050251,profile0002,northern america,galliformes-domestic,united states,H5N1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
