key,cluster_profile,segment,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,collection_regionname,host_simplifiedhost,prob_collection_regionname,prob_host_simplifiedhost,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal,col2,group2,Length_Between_First_Last_Sample
nx_26615116,2_6_6_1_5_1_1_6,nx,1,320,9,0.004234999,6.49986e-4,0.023328142,2022.538723,0.166644408,2022.879452,0.34072912,33.09535331,127.7517771,eastern asia,other-bird,1,1,NA,NA,NA,NA,NA,NA,#b533cc,minor,0
nx_11_7615116,11_7_6_1_5_1_1_6,nx,28,318,44,0.004922574,8.19801e-4,0.020805821,2022.314442,0.188413604,2023.687671,1.373229098,30.37755349,127.1094711,eastern asia,other-bird,1,0.99264806,3148.063,2930.819,506960.1,842149.9,NA,NA,#c699cc,major,1.173
nx_11_1615116,11_1_6_1_5_1_1_6,nx,1,324,2,0.004000257,5.4845e-4,0.016602895,2022.909856,0.133485872,2022.989041,0.07918487,33.03195791,128.0316992,eastern asia,other-bird,1,0.992366412,NA,NA,NA,NA,NA,NA,#a533cc,minor,0
nx_11_7615111,11_7_6_1_5_1_1_1,nx,2,330,32,0.004480364,0.001308358,0.011558202,2022.399065,0.178531383,2023.178082,0.779017641,30.37755349,127.1094711,eastern asia,other-bird,1,0.99264806,NA,NA,NA,NA,NA,NA,#8fcc66,minor,0.077
nx_11_76151113,11_7_6_1_5_1_1_13,nx,2,343,2,0.007296148,0.002363361,0.035198047,2023.659965,0.057876225,2023.687671,0.027706214,24.00500143,90.82297733,southern asia,anseriformes-wild,0.999777802,0.998333518,2061.682,2061.682,29876.72,29876.72,NA,NA,#3bcc33,minor,0
nx_11_7615115,11_7_6_1_5_1_1_5,nx,2,330,32,0.004480364,0.001308358,0.011558202,2022.399065,0.178531383,2022.841096,0.44203134,31.61906521,130.2268483,eastern asia,environment,1,0.919770774,429.3173,429.2886,7712.976,7712.46,NA,NA,#99cca7,minor,0.003
nx_11_77151112,11_7_7_1_5_1_1_12,nx,1,344,2,0.003988677,6.44307e-4,0.026393572,2022.771894,0.14569379,2022.846575,0.074681348,31.73834334,130.9301756,eastern asia,other-bird,1,0.914239482,NA,NA,NA,NA,NA,NA,#cc669e,minor,0
nx_11711115,1_1_7_1_1_1_1_5,nx,1,346,10,0.004395869,0.001559322,0.012977904,2022.530469,0.168918249,2022.832877,0.302407741,32.63410969,132.9995646,eastern asia,other-bird,1,0.933333333,NA,NA,NA,NA,NA,NA,#bacc99,minor,0
nx_17615116,1_7_6_1_5_1_1_6,nx,1,360,2,0.004587384,6.04023e-4,0.026287606,2022.665676,0.153447589,2022.871233,0.205556792,34.98875159,128.4413123,eastern asia,other-bird,1,0.504214329,NA,NA,NA,NA,NA,NA,#99ccad,minor,0
nx_11_1615115,11_1_6_1_5_1_1_5,nx,1,329,33,0.004230085,6.38882e-4,0.023295033,2022.375692,0.18136566,2022.843836,0.468143704,32.07929757,130.7794408,eastern asia,other-bird,1,1,NA,NA,NA,NA,NA,NA,#8f66cc,minor,0
