cluster_profile,cluster_label,clade,number_Conti,number_hostType,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Mammal,prop_Mammal,group
1_1_4_1_4_1_1_4,H5N1/2022/R12_Europe,2.3.4.4b,2,6,882,"Charadriiformes, Galliformes, Mammal, Falconiformes, Accipitriformes, Passeriformes, Anseriformes, Ciconiiformes, Strigiformes, Columbiformes, Podicipediformes, unknown avian, Suliformes, Pelecaniformes","Charadriiformes, Galliformes, Mammal, Avian other, Anseriformes wild, Anseriformes domestic","Charadriiformes - Europe, Galliformes - Europe, Mammal - Europe, Avian other - Europe, Anseriformes wild - Europe, Anseriformes domestic - Europe, Avian other - Africa",Europe,Charadriiformes,"Europe, Africa",1.5068493150683935,121,0.13718820861678005,dominant
1_1_6_1_10_27_1_2,H5N8/2021/R12_Europe,2.3.4.4b,1,1,1,Charadriiformes,Charadriiformes,Charadriiformes - Europe,Europe,Charadriiformes,Europe,0,0,0,minor
1_1_6_1_1_1_1_1,H5N1/2022/R41_Asia,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Asia,Asia,Anseriformes wild,Asia,0,0,0,minor
1_1_6_1_9_1_1_1,H5N1/2023/R8_Europe,2.3.4.4b,1,1,2,Galliformes,Galliformes,Galliformes - Europe,Europe,Galliformes,Europe,0,0,0,minor
1_1_7_1_1_1_1_5,H5N1/2022/R61_Asia,2.3.4.4b,1,1,1,Galliformes,Galliformes,Galliformes - Asia,Asia,Galliformes,Asia,0,0,0,minor
1_1_7_1_5_1_1_1,H5N1/2023/R7_Asia,2.3.4.4b,1,1,3,"Pelecaniformes, Passeriformes",Avian other,Avian other - Asia,Asia,Avian other,Asia,0.16164383561635987,0,0,minor
1_1_7_1_5_1_1_5,H5N1/2022/R25_Asia,2.3.4.4b,1,5,11,"Anseriformes, environment, Pelecaniformes, Accipitriformes, Falconiformes, Galliformes, Gruiformes","Anseriformes wild, environment, Avian other, Galliformes, Anseriformes domestic","Anseriformes wild - Asia, environment - Asia, Avian other - Asia, Galliformes - Asia, Anseriformes domestic - Asia",Asia,Avian other,Asia,0.22739726027407414,0,0,minor
1_1_7_2_3_3_1_2,H5N8/2020/R7_Asia,2.3.4.4b,1,4,8,"Accipitriformes, Galliformes, Anseriformes","Avian other, Galliformes, Anseriformes wild, Anseriformes domestic","Avian other - Asia, Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia",Asia,Anseriformes domestic,Asia,0.20532225465967713,0,0,minor
1_1_7_2_3_3_1_5,H5N8/2020/R8_Asia,2.3.4.4b,1,3,10,"Anseriformes, Galliformes, unknown avian","Anseriformes domestic, Galliformes, Avian other","Anseriformes domestic - Asia, Galliformes - Asia, Avian other - Asia",Asia,Avian other,Asia,0.07103825136596242,0,0,minor
1_2_15_2_1_13_1_2,H5N8/2019/R8_Europe,2.3.4.4b,1,2,6,"Galliformes, Anseriformes","Galliformes, Anseriformes domestic","Galliformes - Europe, Anseriformes domestic - Europe",Europe,Anseriformes domestic,Europe,1.1878883149936428,0,0,major
