,cluster_profile,profile_lab,clade,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Conti,number_hostType,group,colour
103,2_1_12_1_6_4_1_1,H5N1/2021/R11_Asia,2.3.4.4b,5,"domestic-Anseriformes, domestic-Galliformes",domestic-ave,"domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,0.144999999999982,1,1,major,#b9cc66
104,2_1_16_1_1_8_1_1,H5N5/2020/R2_Europe,2.3.4.4b,15,"wild-Charadriiformes, wild-Pelecaniformes, wild-Anseriformes, wild-Accipitriformes",wild-ave,"wild-Charadriiformes - Europe, wild-Pelecaniformes - Europe, wild-Anseriformes - Europe, wild-Accipitriformes - Europe",Europe,wild-Anseriformes,Europe,1.23500000000013,1,1,major,#7bcc33
105,2_1_1_1_1_16_1_1,H5N1/2022/R7_Africa,2.3.4.4b,13,"wild-Charadriiformes, wild-Sphenisciformes",wild-ave,"wild-Charadriiformes - Africa, wild-Sphenisciformes - Africa",Africa,wild-Charadriiformes,Africa,0.633000000000038,1,1,major,#9fcc99
106,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2.3.4.4b,1381,"wild-Anseriformes, domestic-Galliformes, wild-Accipitriformes, wild-Galliformes, wild-Charadriiformes, domestic-Anseriformes, wild-Passeriformes, wild-Falconiformes, wild-Strigiformes, wild-Mammal, wild-Pelecaniformes, wild-Ciconiiformes, domestic-Casuariiformes, wild-Suliformes, domestic-Struthioniformes, wild-Gruiformes, wild-Psittaciformes, wild-Procellariiformes, wild-Sphenisciformes, wild-unknown avian","wild-ave, domestic-ave, mammal","wild-Anseriformes - Europe, domestic-Galliformes - Europe, wild-Accipitriformes - Europe, wild-Galliformes - Europe, wild-Charadriiformes - Europe, domestic-Anseriformes - Europe, wild-Passeriformes - Europe, wild-Falconiformes - Europe, wild-Strigiformes - Europe, wild-Mammal - Europe, domestic-Galliformes - Africa, wild-Pelecaniformes - Africa, wild-Ciconiiformes - Europe, wild-Pelecaniformes - Europe, wild-Anseriformes - North America, domestic-Anseriformes - Asia, wild-Accipitriformes - Asia, domestic-Galliformes - North America, domestic-Anseriformes - North America, domestic-Casuariiformes - North America, wild-Suliformes - Europe, wild-Mammal - Asia, wild-Mammal - North America, wild-Passeriformes - Asia, wild-Charadriiformes - Africa, wild-Strigiformes - Africa, domestic-Struthioniformes - Africa, wild-Gruiformes - Africa, wild-Suliformes - Africa, wild-Psittaciformes - North America, wild-Procellariiformes - Europe, wild-Sphenisciformes - Africa, wild-Accipitriformes - North America, wild-unknown avian - Africa, wild-Anseriformes - Asia, wild-Gruiformes - Europe, domestic-Anseriformes - Africa, wild-Accipitriformes - Africa, wild-Charadriiformes - North America, wild-Ciconiiformes - Africa, wild-Anseriformes - Africa, wild-unknown avian - Europe, domestic-Galliformes - Asia, wild-Procellariiformes - Africa, domestic-Casuariiformes - Asia, wild-Passeriformes - North America, wild-Strigiformes - North America, wild-Falconiformes - North America, wild-Suliformes - North America, wild-Gruiformes - Asia, wild-Charadriiformes - Asia, wild-Pelecaniformes - North America",Europe,wild-Anseriformes,"Europe, Africa, North America, Asia",2.93844800000011,4,3,dominant,#66cc7c
107,2_1_1_1_1_1_1_33,NA,2.3.4.4b,2,"wild-Suliformes, wild-Charadriiformes",wild-ave,"wild-Suliformes - North America, wild-Charadriiformes - North America",North America,wild-Suliformes,North America,0,1,1,minor,#33cc89
108,2_1_1_1_1_1_1_44,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#99ccc7
109,2_1_1_1_1_1_1_48,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#66b1cc
110,2_1_1_1_1_1_1_51,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#336fcc
111,2_1_1_1_1_33_1_2,NA,2.3.4.4b,3,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,major,#999bcc
112,2_1_1_1_1_53_1_1,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Africa,Africa,domestic-Galliformes,Africa,0,1,1,minor,#8466cc
113,2_1_1_1_1_53_1_60,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Africa,Africa,domestic-Galliformes,Africa,0,1,1,minor,#9633cc
114,2_1_1_1_1_8_1_1,H5N5/2021/R1_Europe,2.3.4.4b,8,"wild-Anseriformes, domestic-Galliformes, wild-Accipitriformes","wild-ave, domestic-ave","wild-Anseriformes - Europe, domestic-Galliformes - Europe, wild-Accipitriformes - Europe",Europe,wild-Anseriformes,Europe,0.228000000000065,1,2,major,#cb99cc
115,2_1_1_1_1_95_36_1,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Africa,Africa,domestic-Galliformes,Africa,0,1,1,minor,#cc66a9
116,2_1_1_1_27_1_1_1,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#cc3362
117,2_1_1_1_2_1_1_1,H5N1/2022/R6_NAmerica,2.3.4.4b,9,"domestic-Galliformes, domestic-Anseriformes",domestic-ave,"domestic-Galliformes - North America, domestic-Anseriformes - North America",North America,domestic-Galliformes,North America,0.0630000000001019,1,1,major,#cc4d33
118,2_1_1_1_7_1_1_1,H5N1/2021/R12_Europe,2.3.4.4b,10,"wild-Charadriiformes, wild-Columbiformes, wild-Strigiformes, wild-Falconiformes, wild-Accipitriformes",wild-ave,"wild-Charadriiformes - Europe, wild-Columbiformes - Europe, wild-Strigiformes - Europe, wild-Falconiformes - Europe, wild-Accipitriformes - Europe",Europe,wild-Charadriiformes,Europe,0.177999999999884,1,1,major,#ccb399
119,2_1_28_1_1_1_1_1,H5N1/2021/R10_Africa,2.3.4.4b,6,"wild-unknown avian, domestic-Galliformes","wild-ave, domestic-ave","wild-unknown avian - Africa, domestic-Galliformes - Africa",Africa,wild-unknown avian,Africa,0.270999999999958,1,2,major,#ccbe66
120,2_1_29_14_1_29_1_1,NA,EA_nonGsGD,4,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0.0659999999998035,1,1,major,#dcdcdc
121,2_1_29_14_26_36_1_23,NA,EA_nonGsGD,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Europe,Europe,domestic-Anseriformes,Europe,0,1,1,minor,#dcdcdc
122,2_1_2_14_26_36_1_23,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
123,2_1_2_1_1_1_1_1,H5N1/2021/R6_Europe,2.3.4.4b,12,"wild-Anseriformes, wild-Mammal, domestic-Galliformes, wild-Accipitriformes","wild-ave, mammal, domestic-ave","wild-Anseriformes - Europe, wild-Mammal - Europe, domestic-Galliformes - Europe, wild-Accipitriformes - Europe",Europe,wild-Anseriformes,Europe,1.01099999999997,1,3,major,#abcc33
124,2_1_2_27_1_72_1_1,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
125,2_1_2_57_1_92_17_55,NA,EA_nonGsGD,1,wild-Charadriiformes,wild-ave,wild-Charadriiformes - Europe,Europe,wild-Charadriiformes,Europe,0,1,1,minor,#dcdcdc
126,2_1_33_1_1_4_1_1,NA,2.3.4.4b,4,"domestic-Anseriformes, domestic-Galliformes",domestic-ave,"domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,0.02800000000002,1,1,major,#afcc99
127,2_1_34_1_1_4_1_1,NA,2.3.4.4b,4,"domestic-Anseriformes, domestic-Galliformes, wild-Anseriformes","domestic-ave, wild-ave","domestic-Anseriformes - Asia, domestic-Galliformes - Asia, wild-Anseriformes - Asia",Asia,wild-Anseriformes,Asia,0.0549999999998363,1,2,major,#6fcc66
128,2_1_43_22_25_45_2_28,NA,2.3.4.4h,2,wild-Mammal,mammal,wild-Mammal - Asia,Asia,wild-Mammal,Asia,0.0080000000000382,1,1,minor,#f0ffff
