"continent","start_point","random","end_point","diversity"
"Africa",2022.7,4,2023.7,4.14685376556637
"Europe",2022.7,4,2023.7,2.8436519619287
"North America",2022.7,4,2023.7,5.21098656547037
"Asia",2022.8,4,2023.8,3.80583959348331
"Africa",2022.8,4,2023.8,3.60382549589819
"Europe",2022.8,4,2023.8,2.95747824911457
"North America",2022.8,4,2023.8,7.3978209245197
"Asia",2022.9,4,2023.9,3.37965537603847
"Africa",2022.9,4,2023.9,2.80221170254463
"Europe",2022.9,4,2023.9,3.17982177872176
"North America",2022.9,4,2023.9,8.92981010514141
"Asia",2023,4,2024,3.37604986571654
"Africa",2023,4,2024,2.77897749033688
"Europe",2023,4,2024,3.58493111256974
"North America",2023,4,2024,7.99647067539934
"Asia",2023.1,4,2024.1,3.04976940882239
"Africa",2023.1,4,2024.1,2.79598332180171
"Europe",2023.1,4,2024.1,3.81143174290574
"North America",2023.1,4,2024.1,7.53930313315088
"Asia",2023.2,4,2024.2,3.12902106364378
"Africa",2023.2,4,2024.2,1.5691925832142
"Europe",2023.2,4,2024.2,4.4452835501709
"North America",2023.2,4,2024.2,6.82075279195736
"Asia",2023.3,4,2024.3,3.19855720117254
"Africa",2023.3,4,2024.3,1
"Europe",2023.3,4,2024.3,4.83664143558763
"North America",2023.3,4,2024.3,6.13669666431034
"Asia",2023.4,4,2024.4,3.19855720117254
"Africa",2023.4,4,2024.4,1
"Europe",2023.4,4,2024.4,5.419636876815
"North America",2023.4,4,2024.4,5.64707424934477
"Asia",2023.5,4,2024.5,3.33606947358487
"Africa",2023.5,4,2024.5,1
"Europe",2023.5,4,2024.5,6.60122931170192
"North America",2023.5,4,2024.5,5.52530026692334
"Asia",2020,5,2021,2.95805232113296
"Africa",2020,5,2021,1.75476535060332
"Europe",2020,5,2021,2.63928864159735
"North America",2020,5,2021,NA
"Asia",2020.1,5,2021.1,3.29747964557158
"Africa",2020.1,5,2021.1,2.36308337479987
"Europe",2020.1,5,2021.1,2.94941238405499
"North America",2020.1,5,2021.1,NA
"Asia",2020.2,5,2021.2,3.38852486048314
"Africa",2020.2,5,2021.2,2.3084243035018
