sci_name,class,order,family,primary_com_name
antechinus arktos,mammalia,dasyuromorphia,dasyuridae,black-tailed antechinus
episoriculus leucops,mammalia,soricomorpha,soricidae,long-tailed brown-toothed shrew
caluromys derbianus,mammalia,didelphimorphia,didelphidae,derby's woolly opossum
myzopoda schliemanni,mammalia,chiroptera,myzopodidae,schliemann's sucker-footed bat
rhinolophus ferrumequinum,mammalia,chiroptera,rhinolophidae,greater horseshoe bat
civettictis civetta,mammalia,carnivora,viverridae,african civet
acrobates pygmaeus,mammalia,diprotodontia,acrobatidae,feather-tailed glider
perognathus longimembris,mammalia,rodentia,heteromyidae,little pocket mouse
leontopithecus chrysopygus,mammalia,primates,callitrichidae,black lion tamarin
sorex emarginatus,mammalia,soricomorpha,soricidae,zacatecas shrew
miniopterus robustior,mammalia,chiroptera,miniopteridae,loyalty bent-winged bat
ctenomys rionegrensis,mammalia,rodentia,ctenomyidae,rio negro tuco-tuco
leontocebus fuscus,mammalia,primates,callitrichidae,lesson's saddle-back tamarin
calomyscus urartensis,mammalia,rodentia,calomyscidae,urar calomyscus
cuniculus paca,mammalia,rodentia,cuniculidae,lowland paca
sminthopsis youngsoni,mammalia,dasyuromorphia,dasyuridae,lesser hairy-footed dunnart
miniopterus nimbae,mammalia,chiroptera,miniopteridae,nimba long-fingered bat
ctenomys lewisi,mammalia,rodentia,ctenomyidae,lewis' tuco-tuco
antechinus agilis,mammalia,dasyuromorphia,dasyuridae,agile antechinus
rhinolophus alcyone,mammalia,chiroptera,rhinolophidae,halcyon horseshoe bat
chodsigoa caovansunga,mammalia,soricomorpha,soricidae,van sung's shrew
hipposideros bicolor,mammalia,chiroptera,hipposideridae,bicolored leaf-nosed bat
microgale principula,mammalia,afrosoricida,tenrecidae,greater long-tailed shrew tenrec
leopardus colocolo,mammalia,carnivora,felidae,colocolo
onychogalea lunata,mammalia,diprotodontia,macropodidae,crescent nail-tail wallaby
lutra sumatrana,mammalia,carnivora,mustelidae,hairy-nosed otter
rhinolophus mabuensis,mammalia,chiroptera,rhinolophidae,mount mabu horseshoe bat
rhinolophus damarensis,mammalia,chiroptera,rhinolophidae,damara horseshoe bat
hipposideros dinops,mammalia,chiroptera,hipposideridae,fierce leaf-nosed bat
antechinus minimus,mammalia,dasyuromorphia,dasyuridae,swamp antechinus
rhinolophus thailandensis,mammalia,chiroptera,rhinolophidae,thailand horseshoe bat
ctenomys sociabilis,mammalia,rodentia,ctenomyidae,colonial tuco-tuco
mico emiliae,mammalia,primates,callitrichidae,emilia's marmoset
chilonatalus macer,mammalia,chiroptera,natalidae,cuban least funnel-eared bat
daubentonia madagascariensis,mammalia,primates,daubentoniidae,aye-aye
sminthopsis dolichura,mammalia,dasyuromorphia,dasyuridae,little long-tailed dunnart
abrocoma vaccarum,mammalia,rodentia,abrocomidae,mendozan chinchilla rat
nectogale elegans,mammalia,soricomorpha,soricidae,elegant water shrew
rhinolophus episcopus,mammalia,chiroptera,rhinolophidae,allen's horseshoe bat
liomys irroratus,mammalia,rodentia,heteromyidae,mexican spiny pocket mouse
cryptoprocta ferox,mammalia,carnivora,eupleridae,fossa
natalus macrourus,mammalia,chiroptera,natalidae,brazilian funnel-eared bat
mungotictis decemlineata,mammalia,carnivora,eupleridae,narrow-striped mongoose
callosciurus phayrei,mammalia,rodentia,sciuridae,phayre's squirrel
rhinolophus megaphyllus,mammalia,chiroptera,rhinolophidae,eastern horseshoe bat
cryptotis mayensis,mammalia,soricomorpha,soricidae,yucatan small-eared shrew
callosciurus finlaysonii,mammalia,rodentia,sciuridae,finlayson's squirrel
rhinolophus schnitzleri,mammalia,chiroptera,rhinolophidae,schnitzler's horseshoe bat
dipodomys nitratoides,mammalia,rodentia,heteromyidae,fresno kangaroo rat
cryptotis mexicana,mammalia,soricomorpha,soricidae,mexican small-eared shrew
nyctimene aello,mammalia,chiroptera,pteropodidae,broad-striped tube-nosed fruit bat
pseudantechinus woolleyae,mammalia,dasyuromorphia,dasyuridae,woolley's false antechinus
desmana moschata,mammalia,soricomorpha,talpidae,desman
ctenomys juris,mammalia,rodentia,ctenomyidae,jujuy tuco-tuco
miniopterus medius,mammalia,chiroptera,miniopteridae,intermediate long-fingered bat
ctenomys validus,mammalia,rodentia,ctenomyidae,guanacache tuco-tuco
petrogale herberti,mammalia,diprotodontia,macropodidae,herbert's rock-wallaby
perognathus merriami,mammalia,rodentia,heteromyidae,merriam's pocket mouse
felis manul,mammalia,carnivora,felidae,steppe cat
amblysomus robustus,mammalia,afrosoricida,chrysochloridae,robust golden mole
dasycercus cristicauda,mammalia,dasyuromorphia,dasyuridae,mulgara
chaetodipus artus,mammalia,rodentia,heteromyidae,narrow-skulled pocket mouse
rhinolophus hillorum,mammalia,chiroptera,rhinolophidae,upland horseshoe bat
hipposideros halophyllus,mammalia,chiroptera,hipposideridae,thailand leaf-nosed bat
dorcopsulus vanheurni,mammalia,diprotodontia,macropodidae,small dorcopsis
rhinolophus monticolus,mammalia,chiroptera,rhinolophidae,mountain horseshoe bat
lyncodon patagonicus,mammalia,carnivora,mustelidae,patagonian weasel
trichys fasciculata,mammalia,rodentia,hystricidae,long-tailed porcupine
petrogale godmani,mammalia,diprotodontia,macropodidae,godman's rock-wallaby
